base_ber,base_correct_fraction,complete_recovery,condition_count,cover_stego_psnr,cover_stego_ssim,detail_ber,detail_correct_fraction,method,observation_count,operational_failure_count,pair_id,payload_correct_fraction,peak_memory_bytes,raw_ber,raw_secret_correct_fraction,reconstruction_ncc,reconstruction_psnr,reconstruction_ssim,runtime_seconds,unknown_bit_fraction,valid_base_only_recovery
0.0,0.1,0.1,10,45.00000094864638,0.9912198531532198,0.0,0.1,C1,22,0,coco-000000132796-000000212226,0.1,156421734.39999998,0.30602416501768903,1.0,1.0,,1.0,2.199349547099943,0.9,0.1
0.0,0.1,0.1,10,45.00000094864638,0.9913821206555035,0.0,0.1,C2,22,0,coco-000000132796-000000212226,0.1,156525636.26666665,0.30708835521976374,1.0,1.0,,1.0,3.195440339466404,0.9,0.1
0.0,0.1,0.1,10,45.00002511919936,0.9912224114650829,0.0,0.1,C3,22,0,coco-000000132796-000000212226,0.1,156425830.4,0.30622504047490556,1.0,1.0,,1.0,2.205356938000053,0.9,0.1
0.0,0.1,0.1,10,45.000009005482426,0.9912127341472219,0.0,0.1,C3_NP,22,0,coco-000000132796-000000212226,0.1,156866833.06666666,0.3060803801642981,1.0,1.0,,1.0,2.9712627474333813,0.9,0.1
,,0.1,10,45.80902948021638,0.9970392166626283,,,B1,22,0,coco-000000142971-000000533206,0.7015373229980468,156646877.86666664,0.2984626770019531,0.7015373229980468,0.8611866880815751,13.388619507853596,0.31139504120509504,0.007543350533281532,0.0,
,,0.1,10,44.83246169479637,0.9935001766302266,,,B2,22,0,coco-000000142971-000000533206,0.6104166666666666,156264174.93333334,0.3895833333333333,0.6104166666666666,0.7924273705014386,9.4661158382009,0.14480050688762042,0.012987927533261731,0.0,
0.0,0.1,0.1,10,45.00002511919936,0.9937800440126695,0.0,0.1,C0,22,0,coco-000000142971-000000533206,0.1,156638822.39999998,0.308412484259759,1.0,1.0,,1.0,2.235805678233192,0.9,0.1
0.0,0.1,0.1,10,45.000105688680875,0.9938031593933181,0.0,0.1,C1,22,0,coco-000000142971-000000533206,0.1,156724565.3333333,0.3069495412844037,1.0,1.0,,1.0,2.7218151720999835,0.9,0.1
0.0,0.1,0.1,10,45.00004123297608,0.993788084942986,0.0,0.1,C2,22,0,coco-000000142971-000000533206,0.1,156454502.40000004,0.30810892246806987,1.0,1.0,,1.0,2.636203212666684,0.9,0.1
0.0,0.1,0.1,10,45.00000094864638,0.993802670123935,0.0,0.1,C3,22,0,coco-000000142971-000000533206,0.1,156715008.0,0.30753133057504345,1.0,1.0,,1.0,1.911308158699709,0.9,0.1
